precinct,address,lon,lat
1,214 w 11 st,-74.00179834,40.73629181
1,36 perry st,-74.00249384,40.73546432
1,160 leroy st,-74.01001166,40.73019354
1,228 bleecker st,-74.00254209,40.73010291
1,201 varick st,-74.00627211,40.7283317
1,144 w houston st,-74.00172497,40.72816091
1,45 king st,-74.00466543,40.72803462
1,25 king st,-74.00377606,40.72791704
1,23 king st,-74.00368738,40.72790853
1,183 varick st,-74.00592063,40.72772751
1,350 hudson st,-74.00684186,40.72764954
1,350 hudson st,-74.00684186,40.72764954
1,350 hudson st,-74.00684186,40.72764954
1,110 w houston st,-74.00060131,40.72763788
1,44 king st,-74.00447887,40.72756336
1,108 w houston st,-74.00055189,40.72755856
1,32 king st,-74.00402303,40.72752117
1,20 king st,-74.00355381,40.72747774
1,94 w houston st,-74.00001413,40.72734196
1,92 w houston st,-73.99995578,40.72731317
1,33 charlton st,-74.00454245,40.72728751
1,333 hudson st,-74.00768694,40.72713454
1,333 hudson st,-74.00768694,40.72713454
1,142 sullivan st,-74.00220452,40.72711807
1,141 sullivan st,-74.00173481,40.72686713
1,40 charlton st,-74.00484091,40.72686476
1,40 charlton st,-74.00484091,40.72686476
1,134 sullivan st,-74.00232076,40.72685028
1,30 charlton st,-74.00445338,40.72682718
1,20 charlton st,-74.00409985,40.7267929
1,20 charlton st,-74.00409985,40.7267929
1,20 charlton st,-74.00409985,40.7267929
1,160 varick st,-74.00521534,40.72673699
1,160 varick st,-74.00521534,40.72673699
1,160 varick st,-74.00521534,40.72673699
1,160 varick st,-74.00521534,40.72673699
1,160 varick st,-74.00521534,40.72673699
1,160 varick st,-74.00521534,40.72673699
1,140 ompson st,-74.00075773,40.72663245
1,27 vaam st,-74.00484919,40.72658314
1,17 vaam st,-74.00444951,40.72654439
1,17 vaam st,-74.00444951,40.72654439
1,17 vaam st,-74.00444951,40.72654439
1,11 vaam st,-74.00418747,40.72651898
1,179 prince st,-74.00187561,40.72649085
1,155 wooster st,-73.99954995,40.72639996
1,460 w bway,-74.00069166,40.72639494
1,184 prince st,-74.00215321,40.7262843
1,184 prince st,-74.00215321,40.7262843
1,149 wooster st,-73.99967112,40.72625687
1,149 wooster st,-73.99967112,40.72625687
1,149 wooster st,-73.99967112,40.72625687
1,125 sullivan st,-74.00229154,40.72625679
1,125 sullivan st,-74.00229154,40.72625679
1,125 sullivan st,-74.00229154,40.72625679
1,625 bway,-73.9967539,40.72616384
1,147 wooster st,-73.99976799,40.72614247
1,30 vaam st,-74.00497814,40.72613814
1,30 vaam st,-74.00497814,40.72613814
1,143 greene st,-73.99876973,40.7260596
1,150 varick st,-74.00531978,40.72601441
1,117 sullivan st,-74.00244322,40.7260033
1,110 sullivan st,-74.00307822,40.72599446
1,139 wooster st,-74.00010111,40.72592545
1,233 spring st,-74.00475084,40.72591548
1,233 spring st,-74.00475084,40.72591548
1,233 spring st,-74.00475084,40.72591548
1,160 prince st,-74.00150534,40.72590052
1,33 bleecker st,-73.99375754,40.72582522
1,300 spring st,-74.00797756,40.72572491
1,300 spring st,-74.00797756,40.72572491
1,110 ompson st,-74.00168679,40.72569509
1,100 sullivan st,-74.00332666,40.72569204
1,131 prince st,-74.00027367,40.72565829
1,430 w bway,-74.00147,40.72552384
1,430 w bway,-74.00147,40.72552384
1,430 w bway,-74.00147,40.72552384
1,121 greene st,-73.99928247,40.72545414
1,121 greene st,-73.99928247,40.72545414
1,97 sullivan st,-74.00297718,40.72544526
1,130 prince st,-74.00050657,40.72533877
1,597 bway,-73.99747284,40.72531138
1,191 spring st,-74.00292177,40.72529053
1,187 spring st,-74.00280492,40.72525504
1,187 spring st,-74.00280492,40.72525504
1,128 wooster st,-74.00006027,40.72524318
1,486 greenwich st,-74.00944497,40.72522386
1,31 renwick st,-74.00866219,40.72522154
1,31 renwick st,-74.00866219,40.72522154
1,31 renwick st,-74.00866219,40.72522154
1,261 hudson st,-74.00807292,40.72517019
1,204 spring st,-74.00371702,40.72515955
1,115 wooster st,-74.00070976,40.72513129
1,22 renwick st,-74.00830831,40.72499798
1,173 spring st,-74.00225223,40.72498081
1,196 spring st,-74.00327901,40.72497965
1,112 prince st,-73.99965836,40.72496302
1,200 spring st,-74.00340958,40.72496062
1,38 dominick st,-74.00682779,40.72491618
1,113 greene st,-73.9997848,40.72486008
1,579 bway,-73.99787081,40.72484672
1,413 w bway,-74.00136918,40.72477562
1,413 w bway,-74.00136918,40.72477562
1,83 sullivan st,-74.00347938,40.72474684
1,107 greene st,-73.99988386,40.72474028
1,107 greene st,-73.99988386,40.72474028
1,255 hudson st,-74.00818533,40.72470672
1,79 ompson st,-74.00297622,40.72470115
1,81 sullivan st,-74.00353038,40.72468649
1,100 prince st,-73.99906438,40.72462997
1,79 sullivan st,-74.00357959,40.72462848
1,96 prince st,-73.99891527,40.72460371
1,73 ompson st,-74.00316215,40.72459515
1,170 spring st,-74.00239914,40.72458013
1,77 sullivan st,-74.00362637,40.72457334
1,103 greene st,-74.00002981,40.72456736
1,456 washington st,-74.01065214,40.72446636
1,133 mercer st,-73.99897917,40.72446588
1,133 mercer st,-73.99897917,40.72446588
1,133 mercer st,-73.99897917,40.72446588
1,133 mercer st,-73.99897917,40.72446588
1,71 sullivan st,-74.00377427,40.72439902
1,472 greenwich st,-74.00963824,40.72436849
1,100 wooster st,-74.00060113,40.72435325
1,100 wooster st,-74.00060113,40.72435325
1,100 wooster st,-74.00060113,40.72435325
1,100 wooster st,-74.00060113,40.72435325
1,100 wooster st,-74.00060113,40.72435325
1,67 sullivan st,-74.00382279,40.72434184
1,139 spring st,-74.00083586,40.72425868
1,59 ompson st,-74.00349686,40.72420829
1,59 ompson st,-74.00349686,40.72420829
1,98 greene st,-73.99973124,40.72417499
1,96 greene st,-73.99978,40.72411703
1,129 spring st,-74.000418,40.72404932
1,388 w bway,-74.0026819,40.72403107
1,115 mercer st,-73.99944142,40.72399159
1,131 watts st,-74.00967059,40.72399134
1,92 greene st,-73.99975837,40.72397085
1,462 greenwich st,-74.00972712,40.72385702
1,73 wooster st,-74.00196313,40.72381742
1,109 spring st,-73.99966543,40.72370226
1,109 spring st,-73.99966543,40.72370226
1,109 spring st,-73.99966543,40.72370226
1,521 broome st,-74.00400544,40.72366738
1,374 w bway,-74.00298024,40.72361069
1,552 bway,-73.99777424,40.72360282
1,122 spring st,-74.000298,40.72360156
1,76 wooster st,-74.00132959,40.72356704
1,99 spring st,-73.99930651,40.72346903
1,80 greene st,-74.00034429,40.72345255
1,106 spring st,-73.99991143,40.72336884
1,542 bway,-73.99816842,40.72334263
1,546 bway,-73.99785783,40.72333541
1,437 washington st,-74.01012618,40.72330088
1,437 washington st,-74.01012618,40.72330088
1,67 greene st,-74.00111367,40.72329829
1,67 greene st,-74.00111367,40.72329829
1,450 greenwich st,-74.00983293,40.72327159
1,450 greenwich st,-74.00983293,40.72327159
1,65 greene st,-74.00115524,40.72323705
1,96 spring st,-73.99949259,40.72318623
1,96 spring st,-73.99949259,40.72318623
1,96 spring st,-73.99949259,40.72318623
1,96 spring st,-73.99949259,40.72318623
1,96 spring st,-73.99949259,40.72318623
1,96 spring st,-73.99949259,40.72318623
1,96 spring st,-73.99949259,40.72318623
1,96 spring st,-73.99949259,40.72318623
1,96 spring st,-73.99949259,40.72318623
1,70 greene st,-74.00061136,40.72313628
1,428 washington st,-74.01067001,40.72308883
1,530 bway,-73.99834479,40.72307287
1,23 ompson st,-74.0044669,40.72307165
1,32 ompson st,-74.00389193,40.72301206
1,32 ompson st,-74.00389193,40.72301206
1,32 ompson st,-74.00389193,40.72301206
1,32 ompson st,-74.00389193,40.72301206
1,32 ompson st,-74.00389193,40.72301206
1,32 ompson st,-74.00389193,40.72301206
1,83 mercer st,-74.00029907,40.7229806
1,489 broome st,-74.00273102,40.72293899
1,357 w bway,-74.00299503,40.7229056
1,79 mercer st,-74.00039437,40.72286771
1,355 w bway,-74.00301297,40.72284416
1,350 w bway,-74.00369406,40.72282549
1,350 w bway,-74.00369406,40.72282549
1,350 w bway,-74.00369406,40.72282549
1,44 gra st,-74.00403405,40.72270269
1,43 wooster st,-74.00270755,40.72268245
1,347 w bway,-74.00319544,40.72263057
1,27 gra st,-74.00486787,40.72258928
1,39 vestry st,-74.00917467,40.72252476
1,39 vestry st,-74.00917467,40.72252476
1,458 broome st,-74.00076167,40.72250674
1,37 vestry st,-74.00898391,40.72249766
1,35 vestry st,-74.00890428,40.72248522
1,454 broome st,-74.00060303,40.72242765
1,60 gra st,-74.00332602,40.72240357
1,60 gra st,-74.00332602,40.72240357
1,72 mercer st,-73.99993721,40.72238785
1,72 mercer st,-73.99993721,40.72238785
1,70 laight st,-74.0102019,40.72234037
1,47 greene st,-74.00199161,40.72224845
1,495 bway,-74.0000551,40.72224815
1,165 hudson st,-74.00853969,40.72216311
1,43 ave c,-73.98061287,40.7221583
1,457 broome st,-74.00111802,40.72215158
1,57 gra st,-74.00360753,40.72211596
1,504 bway,-73.99894311,40.72203804
1,71 laight st,-74.01022097,40.72191499
1,33 greene st,-74.00232292,40.72185747
1,399 washington st,-74.01040214,40.72171841
1,408 greenwich st,-74.01011736,40.72164948
1,311 w bway,-74.00378117,40.72163767
1,75 gra st,-74.00265575,40.72161391
1,96 gra st,-74.00170174,40.7215965
1,96 gra st,-74.00170174,40.7215965
